"questionnaire_timestamp";"id";"bed_time";"late";"late_reason";"wake_time";"sleep_transition";"sleep_struggle";"night_wake";"wake_earlier";"wake_earlier_problem";"sleep_quality";"physical_activity";"mental_digital_activity";"social_activity";"light";"presleep_description";"temptation_smoking";"temptation_eating";"temptation_chat";"temptation_coffee";"temptation_social_media";"temptation_internet";"temptation_tv";"temptation_alcohol";"temptation_soft_drink";"temptation_cleaning";"temptation_shopping";"temptation_other";"bed_time_plan_aligned";"steps";"sun_hours";"temptation_score";"date";"day_of_week";"procrastination_minutes";"procrastination_minutes_three_day_cumulative_history";"procrastination_minutes_two_day_cumulative_history";"procrastination_minutes_one_day_cumulative_history";"sleep_struggle_three_day_cumulative_history";"sleep_struggle_two_day_cumulative_history";"sleep_struggle_one_day_cumulative_history";"night_wake_three_day_cumulative_history";"night_wake_two_day_cumulative_history";"night_wake_one_day_cumulative_history";"sleep_quality_three_day_cumulative_history";"sleep_quality_two_day_cumulative_history";"sleep_quality_one_day_cumulative_history";"social_activity_three_day_cumulative_history";"social_activity_two_day_cumulative_history";"social_activity_one_day_cumulative_history";"light_three_day_cumulative_history";"light_two_day_cumulative_history";"light_one_day_cumulative_history";"temptation_eating_three_day_cumulative_history";"temptation_eating_two_day_cumulative_history";"temptation_eating_one_day_cumulative_history";"temptation_coffee_three_day_cumulative_history";"temptation_coffee_two_day_cumulative_history";"temptation_coffee_one_day_cumulative_history";"temptation_score_three_day_cumulative_history";"temptation_score_two_day_cumulative_history";"temptation_score_one_day_cumulative_history";"procrastination_minutes_three_days_ago";"procrastination_minutes_two_days_ago";"procrastination_minutes_one_days_ago";"temptation_score_three_days_ago";"temptation_score_two_days_ago";"temptation_score_one_days_ago";"bed_time_three_days_ago";"bed_time_two_days_ago";"bed_time_one_days_ago"
"2017-04-16 07:00:48+02:00";"EM11";"2017-04-15 21:15:00";0;"";"2017-04-15 06:15:00";0;0;2;1;2;1;1;1;2;0;"Koken, eten, wandelen, lezen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-15 21:00:00";8149;4.7;0;"2017-04-15 07:00:48+02:00";5;15;120;120;15;0;0;0;4;3;2;6;3;1;5;4;2;6;3;0;0;0;0;0;0;0;0;0;0;15;0;105;2;0;0;"2017-04-12 21:15:00";"2017-04-13 22:00:00";"2017-04-14 23:15:00"
"2017-04-17 07:18:49+02:00";"EM11";"2017-04-16 22:00:00";0;"";"2017-04-16 06:30:00";0;0;0;1;1;2;0;0;3;0;"Zakelijke gesprekken, eten, sociaal";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-16 21:00:00";7739;3.4;0;"2017-04-16 07:18:49+02:00";6;60;180;75;60;0;0;0;3;2;0;5;3;2;7;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;105;15;0;0;0;"2017-04-13 22:00:00";"2017-04-14 23:15:00";"2017-04-15 21:15:00"
"2017-04-18 07:05:45+02:00";"EM11";"2017-04-17 22:15:00";1;"Vrijen;)";"2017-04-17 06:10:00";0;0;1;1;1;2;1;1;1;1;"Koken, opruimen, lezen, praten, vrijen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-17 21:30:00";6492;7.4;0;"2017-04-17 07:05:45+02:00";0;45;120;105;45;0;0;0;3;1;1;5;4;2;6;4;1;1;1;1;0;0;0;0;0;0;0;0;0;105;15;60;0;0;0;"2017-04-14 23:15:00";"2017-04-15 21:15:00";"2017-04-16 22:00:00"
"2017-04-19 13:50:06+02:00";"EM11";"2017-04-18 22:00:00";1;"Bad";"2017-04-18 06:30:00";0;1;0;0;0;3;1;0;2;1;"Eten, opruimen, wandelen, tandarts, bad";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-18 21:30:00";8606;9.2;0;"2017-04-18 13:50:06+02:00";1;30;135;75;30;1;1;1;1;1;0;7;5;3;6;3;2;2;2;1;0;0;0;0;0;0;0;0;0;15;60;45;0;0;0;"2017-04-15 21:15:00";"2017-04-16 22:00:00";"2017-04-17 22:15:00"
"2017-04-20 11:08:22+02:00";"EM11";"2017-04-19 21:30:00";0;"";"2017-04-19 06:10:00";0;0;0;0;0;3;0;1;1;0;"Sociaal, winkelen, eten, huishouden, lezen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-19 21:30:00";2544;7.1;0;"2017-04-19 11:08:22+02:00";2;0;75;30;0;1;1;0;1;0;0;8;6;3;4;3;1;2;1;0;0;0;0;0;0;0;0;0;0;60;45;30;0;0;0;"2017-04-16 22:00:00";"2017-04-17 22:15:00";"2017-04-18 22:00:00"
"2017-04-21 07:59:14+02:00";"EM11";"2017-04-21 01:00:00";1;"Soul party";"2017-04-20 07:00:00";0;0;1;1;3;1;2;0;1;3;"Dansen, drinken, fietsen";0;0;0;0;0;0;0;2;0;0;0;0;"2017-04-20 23:00:00";20491;12.3;2;"2017-04-20 07:59:14+02:00";3;120;150;120;120;1;0;0;1;1;1;7;4;1;4;2;1;4;3;3;0;0;0;0;0;0;2;2;2;45;30;0;0;0;0;"2017-04-17 22:15:00";"2017-04-18 22:00:00";"2017-04-19 21:30:00"
"2017-04-22 13:19:46+02:00";"EM11";"2017-04-21 21:15:00";1;"Vakantie planning";"2017-04-21 06:20:00";1;1;2;1;3;0;1;2;2;1;"Wandelen, eten, huishouden, computer";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-21 21:00:00";8714;0.4;0;"2017-04-21 13:19:46+02:00";4;15;135;135;15;1;1;1;3;3;2;4;1;0;4;3;2;4;4;1;0;0;0;0;0;0;2;2;0;30;0;120;0;0;2;"2017-04-18 22:00:00";"2017-04-19 21:30:00";"2017-04-21 01:00:00"
"2017-04-23 11:56:03+02:00";"EM11";"2017-04-22 21:15:00";1;"Voorbereiding vakantie";"2017-04-22 06:00:00";0;0;0;0;0;3;2;1;2;1;"Eten, huishouden, wandelen, computer, vakantie voorbereidingen";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-22 21:00:00";15697;7.8;0;"2017-04-22 11:56:03+02:00";5;15;150;30;15;1;1;0;3;2;0;4;3;3;5;4;2;5;2;1;0;0;0;0;0;0;2;0;0;0;120;15;0;2;0;"2017-04-19 21:30:00";"2017-04-21 01:00:00";"2017-04-21 21:15:00"
"2017-04-24 11:09:48+02:00";"EM11";"2017-04-23 23:00:00";1;"vrijen:) de laatste keer voor we het klooster in gaan:(";"2017-04-23 07:00:00";0;0;0;0;0;3;1;0;3;0;"Wandelen, bad, seks";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-23 22:00:00";6879;5.5;0;"2017-04-23 11:09:48+02:00";6;60;90;75;60;1;0;0;2;0;0;6;6;3;7;5;3;2;1;0;0;0;0;0;0;0;0;0;0;120;15;15;2;0;0;"2017-04-21 01:00:00";"2017-04-21 21:15:00";"2017-04-22 21:15:00"
"2017-04-10 21:53:22+02:00";"FT12";"2017-04-09 23:15:00";0;"";"2017-04-09 07:30:00";1;0;0;0;0;2;0;0;2;2;"wandelen, bad, TV";0;0;0;0;0;0;0;0;0;0;0;0;"2017-04-10 00:11:00";4309;12.3;0;"2017-04-09 21:53:22+02:00";6;-56;-56;-56;-56;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
